eval_name,CourseLevel,did,cid,question_type,question,label,value,value_5pt_adjusted,eval_sort_order,l_name,f_name,answer_text,Student,StudentFirst,StudentLast,OSCE Flags,eval_end_date,Yr,Block,ProcPercent,EPA_Tag,EPA_Abbrev,EPA Committee
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=‰ÛÏ3‰Û><b>Summary Comments:<b> Please add summative, additional comments in any area beyond those provided above.  Comments should refer to specific behaviors, reinforce/clarify your above ratings, and particularly address areas of strength and weakness.<br><br>",,,,,Summary,Evaluation,"Dudley is a very conscientious hard working student. He loves what he does and cares about his patients and learning. Dudley is very compassionate. He loves to do the best for his patients at all times. He will be an outstanding physician,and will have a great professional future.

Clerkship didactic review

Social Determinants of Health
Dudley submitted an excellent social determinants of health write-up. He interviewed a recent immigrant and thoughtfully contrasted his quality of life and experience with health care in 3 countries.

Med U case summary statements
Dudley made steady progress on his med U summary statements. It was clear that he was paying attention and after a few practices, Dudley was able to identify nearly all of the  key concepts in cases.  Dudley's summary statements did get more concise as the block went on. He can continue to work on this by trimming down contents and using semantic qualifiers.   The goal of the summary statement is to consolidate key words and concepts into a very compact and predictably structure. This cognitive exercise will allow you, as well as others listening on rounds, to be triggered by these key words and more easily generate as well as narrow down potential differentials and next steps in patient care. ","Dursley, Dudley",Dudley,Dursley,2,8/4/17,2017,5,0,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,This is a real strength for Dudley. His thought process is well organized and he demonstrates outstanding oral presentation skills. He is confident in his communication at the bedside.,"Dursley, Dudley",Dudley,Dursley,2,8/4/17,2017,5,0,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=‰ÛÏ3‰Û><b>Summary Comments:<b> Please add summative, additional comments in any area beyond those provided above.  Comments should refer to specific behaviors, reinforce/clarify your above ratings, and particularly address areas of strength and weakness.<br><br>",,,,,Summary,Evaluation,"In summary, Luna performed very well, at or above the level expected of her current training. She was a pleasure to have in our office and we all expect that her skills will continue to grow with experience 
  

Clerkship didactic assignment feedback:

Luna was proactive and attentive to her didactic and administrative tasks in this block.
 
Med U summary statements-  Luna summary statements were well written, informative, and communicated her ability to recognize and highlight most of the key findings in cases.  In some cases Luna can further highlight relevant social social context that may guide medical decision making.


Social Determinants of Health writeup - In her thoughtful write-up Luna reflected on an interplay of social determinants of health (unsafe housing, disjointed medical care) and her patient's medical condition -anxiety disorder.   Luna suggested ways for health care providers and systems to better serve patients who struggle with self care and engagement with medical services.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Seamus exhibits commendable empathy and a collaborative approach in his patient interactions. He needs to develop greater confidence in his communication skills which will undoubtedly happen with time and experience.,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Physical Exam Skills<br><br>,Early Clinical Learner<br><br>,2,2,,Summary,Evaluation,,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,1,History and Physical,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,1,History and Physical,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"As mentioned above, Luna always demonstrated a desire to improve her knowledge base and complete independent reading.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Luna has a very professional demeanor and is always pleasant , cooperative, eager . She is motivated to learn and consistently completed whatever learning tasks that were suggested. She always reported her informational reviews to her preceptor in a timely fashion.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,6,Oral Presentation,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Seamus's initial presentation skills were at the level of an early clinical learner, but he made substantial progress throughout the rotation with the development of more succinct and fluent presentations that incorporated all the critical data in a logical sequence.","Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Seamus demonstrated a strong medical knowledge base and understanding of underlying pathophysiology while he enthusiastically worked to expand his primary care knowledge base and familiarity with preventive care guidelines.,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Seamus demonstrated a thoughtful and analytical approach to the interpretation of data with strong clinical reasoning skills for this level of training. He progressively developed confidence in his own expanded differential diagnosis.,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Physical Exam Skills<br><br>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,1,History and Physical,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=""3""><b>Confidential Areas for Improvement:<b><br><br></font>Please comment on areas where this student's performance needs to improve prior to graduation.  these comments will be shared with the student but will not be included in the Dean's (MSPE) letter.<br><br>",,,,,Summary,Evaluation,Continue to finesse case presentations and expand medical knowledge.,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Seamus demonstrated appropriate physical exam skills for this early level of training and progressively developed confidence in his organizational approach throughout the rotation.,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Luna has a good grasp on the concepts involved evaluation and management of common clinical conditions. Luna also demonstrated an appreciation and concern about cost effective care, more so than other students we have worked with.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=""3""><b>Confidential Areas for Improvement:<b><br><br></font>Please comment on areas where this student's performance needs to improve prior to graduation.  these comments will be shared with the student but will not be included in the Dean's (MSPE) letter.<br><br>",,,,,Summary,Evaluation,"Luna will become better at time management, as she expands her medical knowledge and develop the ability to hone in on key issues and diagnoses during patient evaluations.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Luna has an excellent medical knowledge base. In many situations she was able to discuss and give information on plans of care with patients without help from supervisor.,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Seamus is a committed and enthusiastic learner who consistently engaged in independent reading and explored clinical questions as he aspired to develop his medical knowledge base and clinical skills.","Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Seamus is a diligent and committed team member who worked collaboratively with the residents and medical staff. Seamus is always trying to contribute productively to the care plan. His impressive dedication to his patients was evident in his offer to accompany a patient to a specialist visit to provide Hindi translation to ensure accurate understanding,"Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>History Taking Skills<b>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,1,History and Physical,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,6,Oral Presentation,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"During this block she worked on learning to convert patient illness description to medical lingo for more efficient communication.  Luna made progress in her case presentations. ","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Luna was able to attend to the problems encountered in the visit and address them appropriately.  She is still working on prioritizing the significance of data collected in a comprehensive history.,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,Early Clinical Learner<br><br>,2,2,,Summary,Evaluation,,"Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,1,History and Physical,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Luna was able to perform both focused and comprehensive physical exams based on patient presentation.  
","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Luna did great in her motivational interviewing. She is non-judgmental and has shown great rapport with the patients.","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Luna did a great job using open ended questions. She was able to obtain the major points of the patient presentation.  ","Lovegood, Luna",Luna,Lovegood,,2/10/17,2017,1,0.4,G,General,"Cutrer, Bill"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"During this first clinical rotation, Seamus continued to appropriately develop confidence in his independent differential diagnosis and formulation of management plans commensurate with this early level of experience. He consistently made efforts to incorporate individual patient perspective and needs in the plan of care.","Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<font size=‰ÛÏ3‰Û><b>Summary Comments:<b> Please add summative, additional comments in any area beyond those provided above.  Comments should refer to specific behaviors, reinforce/clarify your above ratings, and particularly address areas of strength and weakness.<br><br>",,,,,Summary,Evaluation,"(The above evaluation represents the input of all the clinical faculty working with the students at our site.)
Seamus is a diligent and engaged learner in the ambulatory setting who is appropriately developing his clinical skills, knowledge base, and bedside confidence during this first clinical rotation.  He demonstrates outstanding professionalism and team spirit, it was a pleasure working with him. 



Clerkship didactic assignment feedback-

Seamus was proactive and attentive to his didactic and administrative tasks in this block. 

Med U summary statements- Seamus did a good job writing his med U summary statements and got better at identifying and communicating key clinical findings in cases. He can continue to work on becoming more concise by weeding out redundant content and highlighting key facts (including psychosocial context) that will guide his readers/listeners to generate differentials and conceptualize care plans. 

Social Determinants of Health assignment-Seamus submitted a thoughtful write up detailing the challenges encountered by a patient he interviewed. Seamus identified numerous barriers caused by both medical and social conditions, and provided comprehensive recommendations to deliver better and more patient centered care.","Finnigan, Seamus",Seamus,Finnigan,,2/10/17,2017,1,0.4,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Granger, Hermione",Hermione,Granger,,12/21/17,2017,8,0.4,G,General,"Barron, Beth"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,Pansy is able to effectively participate in generating plans for her patients. She is highly proactive in following up results and making calls to patients.,"Parkinson, Pansy",Pansy,Parkinson,,6/30/17,2017,4,0.6,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Communication is one of Pansy's key strengths. A striking example of this was a patient she interviewed independently, who was suffering with significant depressive symptoms. Pansy skillfully elicited the patient's concerns, made the patient comfortable and appropriately asked for help from the team to decide on triage. She independently developed an appropriate plan for this patient, including offering to stay with her and converse to keep her comfortable while awaiting EMS.","Parkinson, Pansy",Pansy,Parkinson,,6/30/17,2017,4,0.6,G,General,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Parkinson, Pansy",Pansy,Parkinson,,6/30/17,2017,4,0.6,6,Oral Presentation,"Phillipi, Carrie"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Dursley, Dudley",Dudley,Dursley,2,8/4/17,2017,5,0,1,History and Physical,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,G,General,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,G,General,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,G,General,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,6,Oral Presentation,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,G,General,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,1,History and Physical,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Clinical Reasoning-Differential Generation<br><br>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,1,History and Physical,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,see below,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,G,General,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>History Taking Skills<b>,PGY1 Ready<br><br>,4,4,,Summary,Evaluation,,"Thomas, Dean",Dean,Thomas,1,11/3/17,2017,7,,1,History and Physical,"Brown, David"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"As Oliver continues to develop his medical knowledge, he will be able to build broader differentials and expand his clinical reasoning. His skills in doing this improved throughout this very short rotation, so he is well on his way to attaining this knowledge on a higher level.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Oliver is extremely inquisitive; he spent time looking up information and literature independently, and asked probing questions during didactic sessions in order to deepen his understanding. He can continue to improve his medical knowledge and particularly focus on developing broad DDx for common primary care complaints, as well as diagnostic and management strategies for chronic conditions seen in the clinic.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Oliver performed a thorough physical exam, and can continue to develop skills so that his exam is methodical and he incorporates additional maneuvers, especially in the musculoskeletal exam.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Multiple Choice,<b>Presentation skills</b>,Advanced MCY Learner<br><br>,3,3,,Summary,Evaluation,,"Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,6,Oral Presentation,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Oliver displayed growth in his management plans for his patients throughout the rotation. He clearly applied information learned from patient care and didactic sessions earlier in the rotation, for example in diabetes, to patients seen later in the rotation. As he expands his medical knowledge base he will continue to develop skills in managing patients, particularly those with complex medical problems. Oliver also showed growth in his understanding of psychosocial and socioeconomic considerations in our patient population.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Oliver's key strength during this rotation was his natural, excellent ability to establish rapport with patients and maintain open, caring, non-judgemental communication that promotes patient engagement and autonomy. He has an empathic listening style and inherent sensitivity to patient concerns, particularly in sensitive areas such as psychosocial concerns. He was able to make patients comfortable by conversing with them in fluent Spanish. He used reflective listening effectively and encouraged patients to express their concerns and preferences; motivational interviewing skills seem natural to him and I encouraged him to continue building sophistication in this area.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
SPE - Primary Care Clerkship,MCY,FMPC,INTC 7010,Short Answer,"<b>Comments: Refer to specific behaviors, reinforce/clarify your above ratings, and address areas of strength and weakness.",,,,,Summary,Evaluation,"Oliver gave very detailed presentations with relevant clinical information. He can continue to work on making his presentations more organized and including all the pertinent information in each topic. This is particularly the case for patients with multiple complex problems, which is commonly seen with the aging population seen in the ambulatory setting.","Wood, Oliver",Oliver,Wood,1,11/3/17,2017,7,0.6,G,General,"Cocks, Patrick"
